id	rate
6033	.9147
6035	.9118
6037	.9127
6039	.9123
6041	.908
6043	.9088
6045	.9101
6047	.9157
6049	.9111
6051	.9103
6053	.91
6055	.9087
6057	.9109
6059	.9094
6061	.9113
6063	.9139
6065	.9147
6067	.9122
6069	.9125
6071	.9136
6073	.9102
6075	.9097
6077	.9155
6079	.909
6081	.909
6083	.9085
6085	.9118
6087	.9102
6089	.9147
6091	.9137
6093	.9135
6095	.9115
6097	.9099
6099	.9153
6101	.9151
6103	.9137
6105	.9159
6107	.9149
6109	.9127
6111	.911
6113	.9109
6115	.9178
8001	.9081
8003	.9055
8005	.9069
8007	.9062
8009	.9034
8011	.905
8013	.9055
8014	.9066
8015	.9051
8017	.902
8019	.907
8021	.9051
8023	.9084
8025	.9076
8027	.9052
8029	.9066
8031	.9077
8033	.9132
8035	.9059
8037	.9062
8039	.906
8041	.9072
8043	.9077
8045	.9058
8047	.906
8049	.9058
8051	.9044
8053	.9022
8055	.9072
8057	.9033
8059	.9067
8061	.9028
8063	.9029
8065	.9071
8067	.9047
8069	.9056
8071	.907
8073	.9037
8075	.9046
8077	.9082
8079	.9053
8081	.9056
8083	.9063
8085	.9069
8087	.9049
8089	.9058
8091	.9041
8093	.9061
8095	.9026
8097	.905
8099	.905
8101	.9075
8103	.9039
8105	.9048
8107	.906
8109	.9078
8111	.9053
8113	.9042
8115	.9033
8117	.9058
8119	.9067
8121	.9032
8123	.9075
8125	.9026
9001	.9078
9003	.9088
9005	.9079
9007	.9067
9009	.9089
9011	.9076
9013	.9067
9015	.909
10001	.9079
10003	.9086
10005	.9073
11001	.9117
12001	.9071
12003	.9114
12005	.9089
12007	.9083
12009	.9111
12011	.9098
12013	.9082
12015	.9127
12017	.9121
12019	.9098
12021	.9131
12023	.909
12027	.9117
12029	.9123
12031	.9112
12033	.9098
12035	.9162
12037	.9071
12039	.9096
12041	.91
12043	.91
12045	.9098
12047	.9113
12049	.9126
12051	.9168
12053	.9138
12055	.9116
12057	.9115
12059	.9072
12061	.9152
12063	.9072
12065	.9085
12067	.9072
12069	.9123
12071	.9139
12073	.9072
12075	.9121
12077	.9053
12079	.9117
12081	.9127
12083	.9133
12085	.9119
12086	.9113
12087	.907
12089	.9107
12091	.9072
12093	.9133
12095	.9114
12097	.9128
12099	.9117
12101	.9125
12103	.9112
12105	.9127
12107	.9122
12109	.909
12111	.9153
12113	.9094
12115	.9123
12117	.9106
12119	.909
12121	.9098
12123	.9104
12125	.9084
12127	.9117
12129	.9072
12131	.9068
12133	.9096
13001	.9097
13003	.9126
13005	.9085
13007	.9091
13009	.9116
13011	.9067
13013	.9111
13015	.9133
13017	.9153
13019	.9124
13021	.91
13023	.9097
13025	.9116
13027	.9087
13029	.9081
13031	.909
13033	.9122
13035	.9127
13037	.9111
13039	.9091
13043	.9093
13045	.9108
13047	.908
13049	.9106
13051	.9085
13053	.9146
13055	.9114
13057	.9095
13059	.907
13061	.9082
13063	.9123
13065	.911
13067	.9096
13069	.9168
13071	.909
13073	.907
13075	.9119
13077	.91
13079	.9095
13081	.9121
13083	.909
13085	.9101
13087	.9127
13089	.9107
13091	.9112
13093	.9101
13095	.9111
13097	.9114
13099	.9105
13101	.9067
13103	.9079
13105	.9122
13107	.9103
13109	.9089
13111	.91
13113	.9084
13115	.9111
13117	.9086
13119	.9118
13121	.9107
13123	.9098
13125	.9111
13127	.9082
13129	.9131
